Interface,XSI,POSIX Base,U98,U95,P96 P92,C99,C89,SVID3,BSD,LSB 1.3,OpenVMS 7.3-2
pthread_key_delete(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_kill(),m,thr,m,.,t,.,.,.,.,libpthread,.
pthread_mutexattr_destroy(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_mutexattr_getprioceiling(),o,thr tpp,o,.,t,.,.,.,.,.,.
pthread_mutexattr_getprotocol(),o,thr tpp|tpi,o,.,t,.,.,.,.,.,.
pthread_mutexattr_getpshared(),m,thr tsh,m,.,t,.,.,.,.,libpthread,.
pthread_mutexattr_gettype(),m,xsi,m,.,.,.,.,.,.,libpthread,m
pthread_mutexattr_init(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_mutexattr_setprioceiling(),o,thr tpp,o,.,t,.,.,.,.,.,.
pthread_mutexattr_setprotocol(),o,thr tpp|tpi,o,.,t,.,.,.,.,.,.
pthread_mutexattr_setpshared(),m,thr tsh,m,.,t,.,.,.,.,libpthread,.
pthread_mutexattr_settype(),m,xsi,m,.,.,.,.,.,.,libpthread,m
pthread_mutex_destroy(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_mutex_getprioceiling(),o,thr tpp,o,.,t,.,.,.,.,.,.
pthread_mutex_init(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_mutex_lock(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_mutex_setprioceiling(),o,thr tpp,o,.,t,.,.,.,.,.,.
pthread_mutex_timedlock(),o,thr tmo,.,.,.,.,.,.,.,.,.
pthread_mutex_trylock(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_mutex_unlock(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_once(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_rwlockattr_destroy(),m,thr,m,.,.,.,.,.,.,libpthread,m
pthread_rwlockattr_getpshared(),m,thr tsh,m,.,.,.,.,.,.,libpthread,.
pthread_rwlockattr_init(),m,thr,m,.,.,.,.,.,.,libpthread,m
pthread_rwlockattr_setpshared(),m,thr tsh,m,.,.,.,.,.,.,libpthread,.
pthread_rwlock_destroy(),m,thr,m,.,.,.,.,.,.,libpthread,m
pthread_rwlock_init(),m,thr,m,.,.,.,.,.,.,libpthread,m
pthread_rwlock_rdlock(),m,thr,m,.,.,.,.,.,.,libpthread,m
pthread_rwlock_timedrdlock(),o,thr tmo,.,.,.,.,.,.,.,libpthread,.
pthread_rwlock_timedwrlock(),o,thr tmo,.,.,.,.,.,.,.,libpthread,.
pthread_rwlock_tryrdlock(),m,thr,m,.,.,.,.,.,.,libpthread,m
pthread_rwlock_trywrlock(),m,thr,m,.,.,.,.,.,.,libpthread,m
pthread_rwlock_unlock(),m,thr,m,.,.,.,.,.,.,libpthread,m
pthread_rwlock_wrlock(),m,thr,m,.,.,.,.,.,.,libpthread,m
pthread_self(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_setcancelstate(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_setcanceltype(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_setconcurrency(),m,xsi,m,.,.,.,.,.,.,libpthread,m
pthread_setschedparam(),o,thr tps,o,.,t,.,.,.,.,libpthread,m
pthread_setschedprio(),o,thr tps,.,.,.,.,.,.,.,.,.
pthread_setspecific(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_sigmask(),m,thr,m,.,t,.,.,.,.,libpthread,.
pthread_spin_destroy(),o,thr spi,.,.,.,.,.,.,.,.,.
pthread_spin_init(),o,thr spi,.,.,.,.,.,.,.,.,.
pthread_spin_lock(),o,thr spi,.,.,.,.,.,.,.,.,.
pthread_spin_trylock(),o,thr spi,.,.,.,.,.,.,.,.,.
pthread_spin_unlock(),o,thr spi,.,.,.,.,.,.,.,.,.
pthread_testcancel(),m,thr,m,.,t,.,.,.,.,libpthread,m
ptsname(),m,xsi,m,m,.,.,.,m,.,libc,.
putchar(),m,m,m,m,m,m,m,m,m,libc,m
putchar_unlocked(),m,tsf,m,.,t,.,.,.,.,libc,.
putc(),m,m,m,m,m,m,m,m,m,libc,m
putc_unlocked(),m,tsf,m,.,t,.,.,.,.,libc,.
putenv(),m,xsi,m,m,.,.,.,m,.,libc,m
putmsg(),o,xsr,m,m,.,.,.,m,.,.,.
putpmsg(),o,xsr,m,m,.,.,.,m,.,.,.
puts(),m,m,m,m,m,m,m,m,m,libc,m
pututxline(),m,xsi,m,m,.,.,.,.,.,libc,.
putwchar(),m,m,m,m,.,m,1,.,.,libc,m
putwc(),m,m,m,m,.,m,1,.,.,libc,m
putw(),.,.,.,.,.,.,.,.,.,libc,.
pwrite64(),.,.,.,.,.,.,.,.,.,libc,.
pwrite(),m,xsi,m,.,.,.,.,.,.,libc,alpha
qsort(),m,m,m,m,m,m,m,m,m,libc,m
raise(),m,m,m,m,.,m,m,m,.,libc,m
rand(),m,m,m,m,m,m,m,m,m,libc,m
random(),m,xsi,m,m,.,.,.,.,m,libc,m
random_r(),.,.,.,.,.,.,.,.,.,libc,.
rand_r(),m,tsf,m,.,t,.,.,.,.,libc,m
__rawmemchr(),.,.,.,.,.,.,.,.,.,libc,.
readdir64(),.,.,.,.,.,.,.,.,.,libc,.
readdir(),m,m,m,m,m,.,.,m,m,libc,m
readdir_r(),m,tsf,m,.,t,.,.,.,.,libc,m
readlink(),m,m,m,m,.,.,.,m,m,libc,.
read(),m,xsi,m,m,m,.,.,m,m,libc,m
readv(),m,xsi,m,m,.,.,.,m,m,libc,alpha
realloc(),m,m,m,m,m,m,m,m,m,libc,m
realpath(),m,xsi,m,m,.,.,.,.,.,libc,.
re_comp(),.,.,.,.,.,.,.,.,.,libc,.
recvfrom(),m,m,m,m,.,.,.,.,m,libc,.
recv(),m,m,m,m,.,.,.,.,m,libc,.
recvmsg(),m,m,m,m,.,.,.,.,m,libc,.
re_exec(),.,.,.,.,.,.,.,.,.,libc,.
regcomp(),m,m,m,o,m,.,.,.,.,libc,.
regerror(),m,m,m,o,m,.,.,.,.,libc,.
regexec(),m,m,m,o,m,.,.,.,.,libc,.
regfree(),m,m,m,o,m,.,.,.,.,libc,.
remainderf(),m,m,.,.,.,m,.,.,.,libm,.
remainderl(),m,m,.,.,.,m,.,.,.,libm,.
remainder(),m,m,m,m,.,m,.,m,.,libm,.
remove(),m,m,m,m,m,m,m,m,.,libc,m
remque(),m,xsi,m,m,.,.,.,.,m,libc,.
remquof(),m,m,.,.,.,m,.,.,.,libm,.
remquol(),m,m,.,.,.,m,.,.,.,libm,.
remquo(),m,m,.,.,.,m,.,.,.,libm,.
rename(),m,m,m,m,m,m,m,m,m,libc,m
rewinddir(),m,m,m,m,m,.,.,m,m,libc,m
rewind(),m,m,m,m,m,m,m,m,m,libc,m
rindex(),l,xsi,m,m,.,.,.,.,m,libc,m
rintf(),m,m,.,.,.,m,.,.,.,libm,alpha
rintl(),m,m,.,.,.,m,.,.,.,libm,alpha
rint(),m,m,m,m,.,m,.,.,m,libm,alpha
rmdir(),m,m,m,m,m,.,.,m,m,libc,m
roundf(),m,m,.,.,.,m,.,.,.,libm,.
roundl(),m,m,.,.,.,m,.,.,.,libm,.
round(),m,m,.,.,.,m,.,.,.,libm,.
sbrk(),.,.,.,.,.,.,.,.,.,libc,.
scalbf(),.,.,.,.,.,.,.,.,.,libm,.
scalbl(),.,.,.,.,.,.,.,.,.,libm,.
scalblnf(),m,m,.,.,.,m,.,.,.,libm,.
scalblnl(),m,m,.,.,.,m,.,.,.,libm,.
scalbln(),m,m,.,.,.,m,.,.,.,libm,.
scalbnf(),m,m,.,.,.,m,.,.,.,libm,.
scalbnl(),m,m,.,.,.,m,.,.,.,libm,.
scalbn(),m,m,.,.,.,m,.,.,.,libm,.
scalb(),ob,xsi,m,m,.,.,.,m,m,libm,m
scanf(),m,m,m,m,m,m,m,m,m,libc,m
sched_getparam(),o,ps,o,.,r,.,.,.,.,libc,.
sched_get_priority_max(),o,ps,o,.,r,.,.,.,.,libc,m
sched_get_priority_min(),o,ps,o,.,r,.,.,.,.,libc,m
sched_getscheduler(),o,ps,o,.,r,.,.,.,.,libc,.
sched_rr_get_interval(),o,ps,o,.,r,.,.,.,.,libc,.
sched_setparam(),o,ps,o,.,r,.,.,.,.,libc,.
sched_setscheduler(),o,ps,o,.,r,.,.,.,.,libc,.
sched_yield(),m,ps|thr,m,.,r,.,.,.,.,libc,m
seed48(),m,xsi,m,m,.,.,.,m,.,libc,m
seekdir(),m,xsi,m,m,.,.,.,m,m,libc,m
select(),m,m,m,m,.,.,.,.,m,libc,.
sem_close(),o,sem,o,.,r,.,.,.,.,libpthread,.
semctl(),m,xsi,m,m,.,.,.,m,.,libc,.
sem_destroy(),o,sem,o,.,r,.,.,.,.,libpthread,.
semget(),m,xsi,m,m,.,.,.,m,.,libc,.
sem_getvalue(),o,sem,o,.,r,.,.,.,.,libpthread,.
sem_init(),o,sem,o,.,r,.,.,.,.,libpthread,.
sem_open(),o,sem,o,.,r,.,.,.,.,libpthread,.
semop(),m,xsi,m,m,.,.,.,m,.,libc,.
sem_post(),o,sem,o,.,r,.,.,.,.,libpthread,.
sem_timedwait(),o,semtmo,.,.,.,.,.,.,.,libpthread,.
sem_trywait(),o,sem,o,.,r,.,.,.,.,libpthread,.
sem_unlink(),o,sem,o,.,r,.,.,.,.,libpthread,.
sem_wait(),o,sem,o,.,r,.,.,.,.,libpthread,.
send(),m,m,m,m,.,.,.,.,m,libc,.
sendmsg(),m,m,m,m,.,.,.,.,m,libc,m
sendto(),m,m,m,m,.,.,.,.,m,libc,.
setbuffer(),.,.,.,.,.,.,.,.,.,libc,.
setbuf(),m,m,m,m,m,m,m,m,m,libc,m
setcontext(),m,xsi,m,m,.,.,.,m,.,libc,.
setdomainname(),.,.,.,.,.,.,.,.,.,libc,.
setegid(),m,m,.,.,.,.,.,.,.,libc,.
setenv(),m,m,.,.,.,.,.,.,.,libc,m
seteuid(),m,m,.,.,.,.,.,.,.,libc,alpha
setgid(),m,m,m,m,m,.,.,m,m,libc,m
setgrent(),m,xsi,m,m,.,.,.,m,m,libc,alpha
setgroups(),.,.,.,.,.,.,.,.,.,libc,.
sethostent(),m,m,m,m,.,.,.,.,m,libc(ob),.
sethostid(),.,.,.,.,.,.,.,.,.,libc,.
sethostname(),.,.,.,.,.,.,.,.,.,libc,.
setitimer(),m,xsi,m,m,.,.,.,m,m,libc,m
setjmp(),m,m,m,m,m,m,m,m,m,.,m
_setjmp(),m,xsi,m,m,.,.,.,.,m,libc,.
setkey(),o,xsi,o,o,.,.,.,m,m,libcrypt,.
setlocale(),m,m,m,m,m,m,m,m,.,libc,m
setlogmask(),m,xsi,m,m,.,.,.,.,m,libc,.
setmntent(),.,.,.,.,.,.,.,.,.,libc(ob),.
setnetent(),m,m,m,m,.,.,.,.,m,libc,.
setpgid(),m,m,m,m,m,.,.,m,.,libc,alpha
setpgrp(),m,xsi,m,m,.,.,.,m,m,libc,alpha
setpriority(),m,xsi,m,m,.,.,.,.,m,libc,.
setprotoent(),m,m,m,m,.,.,.,.,m,libc,.
setpwent(),m,xsi,m,m,.,.,.,m,m,libc,m
setregid(),m,xsi,m,m,.,.,.,.,m,libc,alpha
setreuid(),m,xsi,m,m,.,.,.,.,m,libc,alpha
setrlimit64(),.,.,.,.,.,.,.,.,.,libc,.
setrlimit(),m,xsi,m,m,.,.,.,m,m,libc,.
setservent(),m,m,m,m,.,.,.,.,m,libc,.
setsid(),m,m,m,m,m,.,.,m,.,libc,alpha
setsockopt(),m,m,m,m,.,.,.,.,m,libc,.
setstate(),m,xsi,m,m,.,.,.,.,m,libc,m
setuid(),m,m,m,m,m,.,.,m,m,libc,m
setutent(),.,.,.,.,.,.,.,.,.,libc,.
setutxent(),m,xsi,m,m,.,.,.,.,.,libc,.
setvbuf(),m,m,m,m,.,m,m,m,.,libc,m
shmat(),m,xsi,m,o,.,.,.,m,.,libc,.
shmctl(),m,xsi,m,o,.,.,.,m,.,libc,.
shmdt(),m,xsi,m,o,.,.,.,m,.,libc,.
shmget(),m,xsi,m,o,.,.,.,m,.,libc,.
shm_open(),o,shm,o,.,r,.,.,.,.,.,.
shm_unlink(),o,shm,o,.,r,.,.,.,.,.,.
shutdown(),m,m,m,m,.,.,.,.,m,libc,.
sigaction(),m,m,m,m,m,.,.,m,.,libc,m
sigaddset(),m,m,m,m,m,.,.,m,.,libc,m
sigaltstack(),m,xsi,m,m,.,.,.,m,.,libc,.
sigandset(),.,.,.,.,.,.,.,.,.,libc,.
sigblock(),.,.,.,.,.,.,.,.,.,libc,.
sigdelset(),m,m,m,m,m,.,.,m,.,libc,m
sigemptyset(),m,m,m,m,m,.,.,m,.,libc,m
sigfillset(),m,m,m,m,m,.,.,m,.,libc,m
siggetmask(),.,.,.,.,.,.,.,.,.,libc,.
sighold(),m,xsi,m,m,.,.,.,m,.,libc,alpha
sigignore(),m,xsi,m,m,.,.,.,m,.,libc,alpha
siginterrupt(),m,xsi,m,m,.,.,.,.,m,libc,.
sigisemptyset(),.,.,.,.,.,.,.,.,.,libc,.
sigismember(),m,m,m,m,m,.,.,m,.,libc,m
siglongjmp(),m,m,m,m,m,.,.,m,.,libc,m
signal(),m,m,m,m,.,m,m,m,m,libc,m
signbit(),m,m,.,.,.,m,.,.,.,.,.
signgam,m,xsi,.,.,.,.,.,m,.,libm,.
significandf(),.,.,.,.,.,.,.,.,.,libm,.
significand(),.,.,.,.,.,.,.,.,.,libm,.
significandl(),.,.,.,.,.,.,.,.,.,libm,.
sigorset(),.,.,.,.,.,.,.,.,.,libc,.
sigpause(),m,xsi,m,m,.,.,.,m,m,libc,m
sigpending(),m,m,m,m,m,.,.,m,.,libc,m
sigprocmask(),m,thr,m,m,m,.,.,m,.,libc,m
sigqueue(),o,rts,o,.,r,.,.,.,.,libc,.
sigrelse(),m,xsi,m,m,.,.,.,m,.,libc,alpha
sigreturn(),.,.,.,.,.,.,.,.,.,libc,.
__sigsetjmp(),.,.,.,.,.,.,.,.,.,libc,.
sigsetjmp(),m,m,m,m,m,.,.,m,.,.,m
sigset(),m,xsi,m,m,.,.,.,m,.,libc,.
sigstack(),.,.,.,.,.,.,.,.,.,libc,.
sigsuspend(),m,m,m,m,m,.,.,m,.,libc,m
sigtimedwait(),o,rts,o,.,r,.,.,.,.,libc,alpha
sigwaitinfo(),o,rts,o,.,r,.,.,.,.,libc,alpha
sigwait(),m,m,m,.,t,.,.,.,.,libc,alpha
sincosf(),.,.,.,.,.,.,.,.,.,libm,.
sincos(),.,.,.,.,.,.,.,.,.,libm,.
sincosl(),.,.,.,.,.,.,.,.,.,libm,.
sinf(),m,m,.,.,.,m,.,.,.,libm,alpha
sinhf(),m,m,.,.,.,m,.,.,.,libm,alpha
sinhl(),m,m,.,.,.,m,.,.,.,libm,alpha
sinh(),m,m,m,m,m,m,m,m,m,libm,m
sinl(),m,m,.,.,.,m,.,.,.,libm,alpha
sin(),m,m,m,m,m,m,m,m,m,libm,m
sleep(),m,m,m,m,m,.,.,m,m,libc,m
snprintf(),m,m,m,.,.,m,.,.,.,libc,m
sockatmark(),m,m,.,.,.,.,.,.,.,.,.
socket(),m,m,m,m,.,.,.,.,m,libc,.
socketpair(),m,m,m,m,.,.,.,.,m,libc,.
sprintf(),m,m,m,m,m,m,m,m,m,libc,m
sqrtf(),m,m,.,.,.,m,.,.,.,libm,alpha
sqrtl(),m,m,.,.,.,m,.,.,.,libm,alpha
sqrt(),m,m,m,m,m,m,m,m,m,libm,m
srand48(),m,xsi,m,m,.,.,.,m,.,libc,m
srand(),m,m,m,m,m,m,m,m,m,libc,m
srandom(),m,xsi,m,m,.,.,.,.,m,libc,m
sscanf(),m,m,m,m,m,m,m,m,m,libc,m
statfs64(),.,.,.,.,.,.,.,.,.,libc(ob),.
statfs(),.,.,.,.,.,.,.,.,.,libc(ob),.
stat(),m,m,m,m,m,.,.,m,m,.,m
statvfs64(),.,.,.,.,.,.,.,.,.,libc,.
statvfs(),m,xsi,m,m,.,.,.,m,.,libc,.
stderr,m,m,m,m,m,m,m,m,m,libc,m
stdin,m,m,m,m,m,m,m,m,m,libc,m
stdout,m,m,m,m,m,m,m,m,m,libc,m
step(),.,.,.,.,.,.,.,.,.,libc,.
stime(),.,.,.,.,.,.,.,.,.,libc,.
__stpcpy(),.,.,.,.,.,.,.,.,.,libc,.
stpcpy(),.,.,.,.,.,.,.,.,.,libc,.
stpncpy(),.,.,.,.,.,.,.,.,.,libc,.
strcasecmp(),m,xsi,m,m,.,.,.,.,.,libc,m
strcasestr(),.,.,.,.,.,.,.,.,.,libc,.
strcat(),m,m,m,m,m,m,m,m,m,libc,m
strchr(),m,m,m,m,m,m,m,m,.,libc,m
strcmp(),m,m,m,m,m,m,m,m,m,libc,m
strcoll(),m,m,m,m,.,m,m,m,.,libc,m
strcpy(),m,m,m,m,m,m,m,m,m,libc,m
strcspn(),m,m,m,m,m,m,m,m,.,libc,m
__strdup(),.,.,.,.,.,.,.,.,.,libc,.
strdup(),m,xsi,m,m,.,.,.,m,.,libc,m
strerror(),m,m,m,m,.,m,m,m,.,libc,m
strerror_r(),m,tsf,.,.,.,.,.,.,.,libc,.
strfmon(),m,xsi,m,o,.,.,.,.,.,libc,m
strfry(),.,.,.,.,.,.,.,.,.,libc,.
strftime(),m,m,m,m,m,m,m,m,.,libc,m
strlen(),m,m,m,m,m,m,m,m,m,libc,m
strncasecmp(),m,xsi,m,m,.,.,.,.,.,libc,m
strncat(),m,m,m,m,m,m,m,m,m,libc,m
strncmp(),m,m,m,m,m,m,m,m,m,libc,m
strncpy(),m,m,m,m,m,m,m,m,m,libc,m
strndup(),.,.,.,.,.,.,.,.,.,libc,.
strnlen(),.,.,.,.,.,.,.,.,.,libc,.
strpbrk(),m,m,m,m,m,m,m,m,.,libc,m
strptime(),m,xsi,m,o,.,.,.,.,.,libc,m
strrchr(),m,m,m,m,m,m,m,m,.,libc,m
strsep(),.,.,.,.,.,.,.,.,.,libc,.
strsignal(),.,.,.,.,.,.,.,.,.,libc,.
strspn(),m,m,m,m,m,m,m,m,.,libc,m
strstr(),m,m,m,m,m,m,m,m,.,libc,m
__strtod_internal(),.,.,.,.,.,.,.,.,.,libc,.
strtod(),m,m,m,m,.,m,m,m,.,libc,m
__strtof_internal(),.,.,.,.,.,.,.,.,.,libc,.
strtof(),m,m,.,.,.,m,.,.,.,libc,.
strtoimax(),m,m,.,.,.,m,.,.,.,libc,.
strtok(),m,m,m,m,m,m,m,m,.,libc,m
__strtok_r(),.,.,.,.,.,.,.,.,.,libc,.
strtok_r(),m,tsf,m,.,t,.,.,.,.,libc,m
__strtold_internal(),.,.,.,.,.,.,.,.,.,libc,.
strtold(),m,m,.,.,.,m,.,.,.,libc,.
__strtol_internal(),.,.,.,.,.,.,.,.,.,libc,.
__strtoll_internal(),.,.,.,.,.,.,.,.,.,libc,.
strtoll(),m,m,.,.,.,m,.,.,.,libc,alpha
strtol(),m,m,m,m,.,m,m,m,.,libc,m
strtoq(),.,.,.,.,.,.,.,.,.,libc,.
__strtoul_internal(),.,.,.,.,.,.,.,.,.,libc,.
__strtoull_internal(),.,.,.,.,.,.,.,.,.,libc,.
strtoull(),m,m,.,.,.,m,.,.,.,libc,alpha
strtoul(),m,m,m,m,.,m,m,m,.,libc,m
strtoumax(),m,m,.,.,.,m,.,.,.,libc,.
strtouq(),.,.,.,.,.,.,.,.,.,libc,.
strverscmp(),.,.,.,.,.,.,.,.,.,libc,.
strxfrm(),m,m,m,m,.,m,m,m,.,libc,m
svcerr_auth(),.,.,.,.,.,.,.,.,.,libc,.
svcerr_decode(),.,.,.,.,.,.,.,.,.,libc,.
svcerr_noproc(),.,.,.,.,.,.,.,.,.,libc,.
svcerr_noprog(),.,.,.,.,.,.,.,.,.,libc,.
svcerr_progvers(),.,.,.,.,.,.,.,.,.,libc,.
svcerr_systemerr(),.,.,.,.,.,.,.,.,.,libc,.
svcerr_weakauth(),.,.,.,.,.,.,.,.,.,libc,.
svc_getreqset(),.,.,.,.,.,.,.,.,.,libc,.
swab(),m,xsi,m,m,.,.,.,m,m,libc,m
swapcontext(),m,xsi,m,m,.,.,.,.,.,libc,.
swprintf(),m,m,m,.,.,m,1,.,.,libc,m
swscanf(),m,m,m,.,.,m,1,.,.,libc,m
symlink(),m,m,m,m,.,.,.,m,m,libc,.
sync(),m,xsi,m,m,.,.,.,m,m,libc,.
__sysconf(),.,.,.,.,.,.,.,.,.,libc,.
sysconf(),m,m,m,m,m,.,.,m,.,libc,m
_sys_errlist,.,.,.,.,.,.,.,.,.,libc,.
syslog(),m,xsi,m,m,.,.,.,.,m,libc,.
_sys_siglist,.,.,.,.,.,.,.,.,.,libc,.
system(),m,m,m,m,.,m,m,m,m,libc,m
__sysv_signal(),.,.,.,.,.,.,.,.,.,libc,.
tanf(),m,m,.,.,.,m,.,.,.,libm,alpha
tanhf(),m,m,.,.,.,m,.,.,.,libm,alpha
tanhl(),m,m,.,.,.,m,.,.,.,libm,alpha
tanh(),m,m,m,m,m,m,m,m,m,libm,m
tanl(),m,m,.,.,.,m,.,.,.,libm,alpha
tan(),m,m,m,m,m,m,m,m,m,libm,m
tcdrain(),m,m,m,m,m,.,.,m,.,libc,.
tcflow(),m,m,m,m,m,.,.,m,.,libc,.
tcflush(),m,m,m,m,m,.,.,m,.,libc,.
tcgetattr(),m,m,m,m,m,.,.,m,.,libc,.
tcgetpgrp(),m,m,m,m,m,.,.,m,.,libc,.
tcgetsid(),m,xsi,m,m,.,.,.,m,.,libc,.
tcsendbreak(),m,m,m,m,m,.,.,m,.,libc,.
tcsetattr(),m,m,m,m,m,.,.,m,.,libc,.
tcsetpgrp(),m,m,m,m,m,.,.,m,.,libc,.
tdelete(),m,xsi,m,m,.,.,.,m,.,libc,.
telldir(),m,xsi,m,m,.,.,.,m,m,libc,m
tempnam(),m,xsi,m,m,.,.,.,m,.,libc,m
textdomain(),.,.,.,.,.,.,.,.,.,libc,.
tfind(),m,xsi,m,m,.,.,.,m,.,libc,.
tgammaf(),m,m,.,.,.,m,.,.,.,libm,.
tgammal(),m,m,.,.,.,m,.,.,.,libm,.
tgamma(),m,m,.,.,.,m,.,.,.,libm,.
time(),m,m,m,m,m,m,m,m,m,libc,m
timer_create(),o,tmr,o,.,r,.,.,.,.,.,.
timer_delete(),o,tmr,o,.,r,.,.,.,.,.,.
timer_getoverrun(),o,tmr,o,.,r,.,.,.,.,.,.
timer_gettime(),o,tmr,o,.,r,.,.,.,.,.,.
timer_settime(),o,tmr,o,.,r,.,.,.,.,.,.
times(),m,m,m,m,m,.,.,m,m,libc,m
__timezone,.,.,.,.,.,.,.,.,.,libc,.
timezone,m,xsi,m,m,.,.,.,m,.,libc,m
tmpfile64(),.,.,.,.,.,.,.,.,.,libc,.
tmpfile(),m,m,m,m,m,m,m,m,.,libc,m
tmpnam(),m,m,m,m,m,m,m,m,.,libc,m
toascii(),m,xsi,m,m,.,.,.,m,m,libc,m
tolower(),m,m,m,m,m,m,m,m,m,libc,m
_tolower(),m,xsi,m,m,.,.,.,m,.,libc,m
toupper(),m,m,m,m,m,m,m,m,m,libc,m
_toupper(),m,xsi,m,m,.,.,.,m,.,libc,m
towctrans(),m,m,m,.,.,m,1,.,.,libc,m
towlower(),m,m,m,m,.,m,1,.,.,libc,m
towupper(),m,m,m,m,.,m,1,.,.,libc,m
truncate64(),.,.,.,.,.,.,.,.,.,libc,.
truncate(),m,xsi,m,m,.,.,.,.,m,libc,m
truncf(),m,m,.,.,.,m,.,.,.,libm,alpha
truncl(),m,m,.,.,.,m,.,.,.,libm,alpha
trunc(),m,m,.,.,.,m,.,.,.,libm,alpha
tsearch(),m,xsi,m,m,.,.,.,m,.,libc,.
ttyname(),m,tsf,m,m,m,.,.,m,m,libc,m
ttyname_r(),m,tsf,m,.,t,.,.,.,.,libc,m
twalk(),m,xsi,m,m,.,.,.,m,.,libc,.
__tzname,.,.,.,.,.,.,.,.,.,libc,.
tzname,m,xsi,m,m,m,.,.,m,.,libc,m
tzset(),m,xsi,m,m,m,.,.,m,.,libc,m
ualarm(),ob,xsi,m,m,.,.,.,.,m,libc,m
ulimit(),m,xsi,m,m,.,.,.,m,.,libc,.
umask(),m,m,m,m,m,.,.,m,m,libc,m
uname(),m,m,m,m,m,.,.,m,.,libc,m
ungetc(),m,m,m,m,m,m,m,m,m,libc,m
ungetwc(),m,m,m,m,.,m,1,.,.,libc,m
unlink(),m,m,m,m,m,.,.,m,m,libc,m
unlockpt(),m,xsi,m,m,.,.,.,m,.,libc,.
unsetenv(),m,m,.,.,.,.,.,.,.,libc,m
_Unwind_DeleteException(),.,.,.,.,.,.,.,.,.,libgcc_s,.
_Unwind_Find_FDE(),.,.,.,.,.,.,.,.,.,libgcc_s,.
_Unwind_ForcedUnwind(),.,.,.,.,.,.,.,.,.,libgcc_s,.
_Unwind_GetDataRelBase(),.,.,.,.,.,.,.,.,.,libgcc_s,.
_Unwind_GetGR(),.,.,.,.,.,.,.,.,.,libgcc_s,.
_Unwind_GetIP(),.,.,.,.,.,.,.,.,.,libgcc_s,.
_Unwind_GetLanguageSpecificData(),.,.,.,.,.,.,.,.,.,libgcc_s,.
_Unwind_GetRegionStart(),.,.,.,.,.,.,.,.,.,libgcc_s,.
_Unwind_GetTextRelBase(),.,.,.,.,.,.,.,.,.,libgcc_s,.
_Unwind_RaiseException(),.,.,.,.,.,.,.,.,.,libgcc_s,.
_Unwind_Resume(),.,.,.,.,.,.,.,.,.,libgcc_s,.
_Unwind_SetGR(),.,.,.,.,.,.,.,.,.,libgcc_s,.
_Unwind_SetIP(),.,.,.,.,.,.,.,.,.,libgcc_s,.
usleep(),ob,xsi,m,m,.,.,.,.,m,libc,m
utime(),m,m,m,m,m,.,.,m,m,libc,m
utimes(),l,xsi,m,m,.,.,.,.,m,libc,m
va_arg(),m,m,.,.,.,.,.,.,.,.,m
va_copy(),m,m,.,.,.,.,.,.,.,.,.
va_end(),m,m,.,.,.,.,.,.,.,.,m
vasprintf(),.,.,.,.,.,.,.,.,.,libc,.
va_start(),m,m,.,.,.,.,.,.,.,.,m
vdprintf(),.,.,.,.,.,.,.,.,.,libc,.
verrx(),.,.,.,.,.,.,.,.,.,libc,.
vfork(),ob,xsi,m,m,.,.,.,.,m,libc,m
vfprintf(),m,m,m,m,.,.,.,m,.,libc,m
vfscanf(),m,m,.,.,.,m,.,.,.,libc,m
vfwprintf(),m,m,m,.,.,m,1,.,.,libc,m
vfwscanf(),m,m,.,.,.,m,.,.,.,libc,m
vprintf(),m,m,m,m,.,m,m,m,.,libc,m
vscanf(),m,m,.,.,.,m,.,.,.,libc,m
vsnprintf(),m,m,m,.,.,m,.,.,.,libc,alpha
vsprintf(),m,m,m,m,.,m,m,m,.,libc,m
vsscanf(),m,m,.,.,.,m,.,.,.,libc,m
vswprintf(),m,m,m,.,.,m,1,.,.,libc,m
vswscanf(),m,m,.,.,.,m,.,.,.,libc,m
vsyslog(),.,.,.,.,.,.,.,.,.,libc,.
vwprintf(),m,m,m,.,.,m,1,.,.,libc,m
vwscanf(),m,m,.,.,.,m,.,.,.,libc,m
wait3(),.,.,.,.,.,.,.,.,.,libc,.
wait4(),.,.,.,.,.,.,.,.,.,libc,.
waitid(),m,xsi,m,m,.,.,.,m,.,libc(ob),.
wait(),m,m,m,m,m,.,.,m,m,libc,m
waitpid(),m,m,m,m,m,.,.,m,m,libc,m
warn(),.,.,.,.,.,.,.,.,.,libc,.
warnx(),.,.,.,.,.,.,.,.,.,libc,.
wcpcpy(),.,.,.,.,.,.,.,.,.,libc,.
wcpncpy(),.,.,.,.,.,.,.,.,.,libc,.
