Interface,XSI,POSIX Base,U98,U95,P96 P92,C99,C89,SVID3,BSD,LSB 1.3,OpenVMS 7.3-2
creat(),m,m,m,m,m,.,.,m,m,libc,m
crypt(),o,xsi,o,o,.,.,.,m,m,libcrypt,.
csinf(),m,m,.,.,.,m,.,.,.,libm,alpha
csinhf(),m,m,.,.,.,m,.,.,.,libm,alpha
csinhl(),m,m,.,.,.,m,.,.,.,libm,alpha
csinh(),m,m,.,.,.,m,.,.,.,libm,alpha
csinl(),m,m,.,.,.,m,.,.,.,libm,alpha
csin(),m,m,.,.,.,m,.,.,.,libm,alpha
csqrtf(),m,m,.,.,.,m,.,.,.,libm,alpha
csqrtl(),m,m,.,.,.,m,.,.,.,libm,alpha
csqrt(),m,m,.,.,.,m,.,.,.,libm,alpha
ctanf(),m,m,.,.,.,m,.,.,.,libm,alpha
ctanhf(),m,m,.,.,.,m,.,.,.,libm,alpha
ctanhl(),m,m,.,.,.,m,.,.,.,libm,alpha
ctanh(),m,m,.,.,.,m,.,.,.,libm,alpha
ctanl(),m,m,.,.,.,m,.,.,.,libm,alpha
ctan(),m,m,.,.,.,m,.,.,.,libm,alpha
ctermid(),m,m,m,m,m,.,.,m,.,libc,m
ctime(),m,m,m,m,m,m,m,m,m,libc,m
ctime_r(),m,tsf,m,.,t,.,.,.,.,libc,m
__ctype_b,.,.,.,.,.,.,.,.,.,libc,.
__ctype_get_mb_cur_max(),.,.,.,.,.,.,.,.,.,libc,.
__ctype_tolower,.,.,.,.,.,.,.,.,.,libc,.
__ctype_toupper,.,.,.,.,.,.,.,.,.,libc,.
cuserid(),.,.,.,.,.,.,.,.,.,libc,.
__cxa_atexit(),.,.,.,.,.,.,.,.,.,libc,.
daemon(),.,.,.,.,.,.,.,.,.,libc,.
__daylight,.,.,.,.,.,.,.,.,.,libc,.
daylight,m,xsi,m,m,.,.,.,m,.,libc,m
dbm_clearerr(),m,xsi,m,m,.,.,.,.,.,.,.
dbm_close(),m,xsi,m,m,.,.,.,.,.,.,.
dbm_delete(),m,xsi,m,m,.,.,.,.,.,.,.
dbm_error(),m,xsi,m,m,.,.,.,.,.,.,.
dbm_fetch(),m,xsi,m,m,.,.,.,.,.,.,.
dbm_firstkey(),m,xsi,m,m,.,.,.,.,.,.,.
dbm_nextkey(),m,xsi,m,m,.,.,.,.,.,.,.
dbm_open(),m,xsi,m,m,.,.,.,.,.,.,.
dbm_store(),m,xsi,m,m,.,.,.,.,.,.,.
dcgettext(),.,.,.,.,.,.,.,.,.,libc,.
__dcgettext(),.,.,.,.,.,.,.,.,.,libc(ob),.
dcngettext(),.,.,.,.,.,.,.,.,.,libc,.
dgettext(),.,.,.,.,.,.,.,.,.,libc,.
difftime(),m,m,m,m,.,m,m,m,.,libc,m
dirname(),m,xsi,m,m,.,.,.,.,.,libc,m
div(),m,m,m,m,.,m,m,m,.,libc,m
dladdr(),.,.,.,.,.,.,.,.,.,libdl,.
dlclose(),m,xsi,m,.,.,.,.,.,.,libdl,m
dlerror(),m,xsi,m,.,.,.,.,.,.,libdl,m
dlopen(),m,xsi,m,.,.,.,.,.,.,libdl,m
dlsym(),m,xsi,m,.,.,.,.,.,.,libdl,m
dngettext(),.,.,.,.,.,.,.,.,.,libc,.
drand48(),m,xsi,m,m,.,.,.,m,.,libc,m
dremf(),.,.,.,.,.,.,.,.,.,libm,.
dreml(),.,.,.,.,.,.,.,.,.,libm,.
dup2(),m,m,m,m,m,.,.,m,m,libc,m
dup(),m,m,m,m,m,.,.,m,m,libc,m
ecvt(),l,xsi,m,m,.,.,.,.,m,libc,m
encrypt(),o,xsi,o,o,.,.,.,m,m,libcrypt,.
endgrent(),m,xsi,m,m,.,.,.,m,m,libc,alpha
endhostent(),m,m,m,m,.,.,.,.,m,libc(ob),m
endnetent(),m,m,m,m,.,.,.,.,m,libc,m
endprotoent(),m,m,m,m,.,.,.,.,m,libc,m
endpwent(),m,xsi,m,m,.,.,.,m,m,libc,m
endservent(),m,m,m,m,.,.,.,.,m,libc,m
endutent(),.,.,.,.,.,.,.,.,.,libc,.
endutxent(),m,xsi,m,m,.,.,.,.,.,libc,.
__environ,.,.,.,.,.,.,.,.,.,libc,.
_environ,.,.,.,.,.,.,.,.,.,libc,.
environ,m,m,m,m,m,.,.,m,m,libc,m
erand48(),m,xsi,m,m,.,.,.,m,.,libc,m
erfcf(),m,m,.,.,.,m,.,.,.,libm,alpha
erfcl(),m,m,.,.,.,m,.,.,.,libm,alpha
erfc(),m,m,m,m,.,m,.,m,m,libm,alpha
erff(),m,m,.,.,.,m,.,.,.,libm,alpha
erfl(),m,m,.,.,.,m,.,.,.,libm,alpha
erf(),m,m,m,m,.,m,.,m,m,libm,m
err(),.,.,.,.,.,.,.,.,.,libc,.
__errno_location(),.,.,.,.,.,.,.,.,.,libc,.
errno,m,m,m,m,m,m,m,m,m,.,m
error(),.,.,.,.,.,.,.,.,.,libc,.
errx(),.,.,.,.,.,.,.,.,.,libc,.
execle(),m,m,m,m,m,.,.,m,m,libc,m
execl(),m,m,m,m,m,.,.,m,m,libc,m
execlp(),m,m,m,m,m,.,.,m,m,libc,m
execve(),m,m,m,m,m,.,.,m,m,libc,m
execv(),m,m,m,m,m,.,.,m,m,libc,m
execvp(),m,m,m,m,m,.,.,m,m,libc,m
_Exit(),m,m,.,.,.,m,.,.,.,libc,.
_exit(),m,m,m,m,m,.,.,m,m,libc,m
exit(),m,m,m,m,m,m,m,m,m,libc,m
exp2f(),m,m,.,.,.,m,.,.,.,.,alpha
exp2l(),m,m,.,.,.,m,.,.,.,.,alpha
exp2(),m,m,.,.,.,m,.,.,.,.,alpha
expf(),m,m,.,.,.,m,.,.,.,libm,alpha
expl(),m,m,.,.,.,m,.,.,.,libm,alpha
expm1f(),m,m,.,.,.,m,.,.,.,.,alpha
expm1l(),m,m,.,.,.,m,.,.,.,.,alpha
expm1(),m,m,m,m,.,m,.,.,m,libm,alpha
exp(),m,m,m,m,m,m,m,m,m,libm,m
